# mammos csv v3
#----------------------------------------
# Hysteresis loop.
# Generated from mammos_mumag 0.11.0.
# `configuration_type` is the name of the corresponding vtu file containing the magnetization.
# `B_ext` is the applied magnetic flux density.
# `J` is the polarisation in the direction of the applied magnetic flux.
# `Jx`, `Jy`, `Jz` are the components of the polarisation.
# `energy_density` is the energy density.
#----------------------------------------
,MagneticFluxDensity,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,EnergyDensity
,,,,,,
,https://w3id.org/emmo#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo/domain/magnetic-materials#EMMO_56258d3a-f2ee-554e-af99-499dd8620457
,T,T,T,T,T,J / m3
configuration_type,B_ext,J,Jx,Jy,Jz,energy_density
1,0.6599999999999997,2.136275916018795,0.00023845199579022923,8.82390920371401e-05,2.136275916018795,-584802.6170908415
1,0.6549999999999997,2.136275863560313,0.0002401383617604809,8.886337868374469e-05,2.136275863560313,-576302.645397718
1,0.6499999999999997,2.1362758103352957,0.00024185596785102558,8.949879981817626e-05,2.1362758103352957,-567802.673914801
1,0.6449999999999997,2.1362757562896406,0.00024359344684568378,9.014182563661083e-05,2.1362757562896406,-559302.7026453437
1,0.6399999999999997,2.136275701446639,0.0002453573359295179,9.079414400230518e-05,2.136275701446639,-550802.7315924579
1,0.6349999999999997,2.136275645757384,0.00024714647449362664,9.14561636908352e-05,2.136275645757384,-542302.7607594888
1,0.6299999999999997,2.1362755892265843,0.0002489647648081213,9.212841648472244e-05,2.1362755892265843,-533802.7901497236
1,0.6249999999999997,2.136275531794278,0.0002508058623911422,9.28093954716644e-05,2.136275531794278,-525302.8197667279
1,0.6199999999999997,2.1362754734886105,0.0002526785143727337,9.350159029233746e-05,2.1362754734886105,-516802.84961376985
1,0.6149999999999997,2.1362754142359126,0.0002545757068263386,9.420304758408699e-05,2.1362754142359126,-508302.8796948764
1,0.6099999999999997,2.136275354061133,0.0002565061854935091,9.491640993109644e-05,2.136275354061133,-499802.9100135036
